Chandiwana Ngonidzashe,,,1 456
"",M,Independent,
Shiri,,,
Denga Piniel,M,MDC-Alliance,4 537
Mhona Felix Tapiwa,M,ZANU PF,7 543
"",,Build Zimbabwe,93
Mugaduyi Situta,M,,
"",,Alliance,
"",,United Democracy,70
Mugova Eddington,M,,
"",,Movement,
"",,People’s Rainbow,176
Muwungani Thanks,M,,
"",,Coalition,
"",,People’s Rainbow,344
Chivige Rapheal,M,,
"",,Coalition,
Dahwa Lawrence Enock,M,MDC-Alliance,3 595
Kanhutu Irene Nzenza,F,ZANU PF,7 972
"",,Zimbabwe African,60
Katsenga Derek,M,People’s Union,
"",,Zimbabwe Partnership,104
Tangazu Debra,F,for Prosperity,
Madhuveko Jeremia,M,MDC-T,1 661
"",,People’s Rainbow,325
Madyangove Chrispen,M,Coalition,
"",,Zimbabwe Partnership for,309
Magawa Anderson,M,Prosperity,
Mangwiro John,,,17 079
Chamunorwa,M,ZANU PF,
Mutodza Antony,M,MDC-AllianceParty,5 575
Bvute Ozias,M,ZANU PF,17 277
"",,People’s Rainbow,289
Mapira Bindu Allan,M,Coalition,
"",,Zimbabwe Partnership for,127
Muriyengwe Brian,M,Prosperity,
Samanyanga,,,1 237
George,M,MDC-T,
Sauka  Ellard,M,MDC-Alliance.,5 362
Chauke Grace,F,MDC-T,2443
Chikudo Rueben,M,MDC-Alliance,32 423
Chimunhu Albert,M,Zimbabwe Labour Party,277
Chiridza Clive,M,Independent.,289
"",,United African National,118
Chiwashira Licious,M,Council.,
"",,Zimbabwe Partnership,190
Chiyangwa Shelton,M,for Prosperity,
Gwanzura Oswell Ndumo,M,Independent.,4735
Kagonye Petronella,F,ZANU PF,18821
Makoni Dominic  Mufudzi,M,Independent.,294
Makore Eugene,M,Independent.,224
Mangate Hazel,F,NCA,127
"",,People’s  Rainbow,176
Mugariwa Jullean,F,Coalition,
Muwodzeri Thomas,M,Independent.,1257
Vengai Ephraim,F,Independent,77
Chikudo Rueben,M,MDC-Alliance,
Karimatsenga,,,
Nyamupinga Biata,,,2 909
Beatrice,F,Independent,
"",,People’s Rainbow Coalition,425
Machokoto Cryton,M,Party.,
Mutodi Energy,M,ZANU PF,12 384
Muzonikwa Ndanga,,,
Ronald Paidamoyo,M,United African National Council,122
Nhamburo Taurai Clifford,M,MDC-Alliance Party,10 274
Tamborinyoka Luke,,,
Batsirai,M,MDC-Alliance Party,6 691
Tizora Lewis,M,Coalition  Democrats,99
Chasesa Fred,M,People’s Rainbow Coalition.,288
Kundiona Cleopas,M,ZANU PF,8386
Makayi Onias,M,Zimbabwe Partnership for Prosperity.,71
Makaza Solomon,M,Freezim Congress,34
Makombe Francis,M,MDC T,840
Matewu Caston,M,MDC-Alliance Party,14604
Munuhwa Chipo Contilda,F,Independent.,189
Nyika Kingdom,M,Independent.,57
Chakaingesu,,,4 604
Musekiwa,M,MDC-Alliance,
Chidakwa Patrick,M,ZANU PF,18 365
"",,Zimbabwe,187
Mandaza Moses,M,Labour Party,
Maisvoreva Amon,M,MDC Alliance,5400
"",,,
Mari Adam,M,People’s Rainbow Coalition,69
Mavunga Richard Godfrey,M,Independent,559
Mdokwani Chivero Stanley,M,Independent,90
Muchetwa Macdonald,M,MDC T,368
Mukunyaidze Spiwe Elizabeth I,F,ZANU PF,7619
"",,Build Zimbabwe,544
Chiroto Emmanuel,M,Alliance,
Garwe Daniel,M,ZANU PF,16 781
Muchenje Desire,M,NCA,153
Mutize Golden,M,MDC-Alliance,4 910
Chawora Jeremy Jonathan,M,MDC-Alliance,1 821
Chodewa Tukisai,M,NCA,129
Mangondo Noah Takawota Joni,M,Independent,10 653
Matiza Biggie Joel,M,ZANU PF,10 808
Mupanguri Musatye,M,ZAPU,81
Muparadzi Blessed,M,Peoples’ Rainbow Coalition,50
Name of Candidate,Sex,Party,Votes Received
Chinhiwu Thompson,M,NCA,313
"",,,
Chirumiko Emanuel,M,MDC T,2020
"",,,
Jiji Tafirenyika Farai,M,Independent,166
Magaso Peter,M,People’s Rainbow Coalition,188
Mudzipuri Taurai,M,FreeZim Congress,91
Mukurazhizha Lesley Manika,M,MDC Alliance,6216
Nezi Ward,M,Coalition of Democrats,75
Nhamburo Silence,M,National Patriotic Front,100
Sewera Jonah Nyikadzino,M,ZANU PF,12 982
Zamadura Solomon,M,Independent,81
Musiyiwa Richard,M,ZANU PF,15 109
Samakande Abel,M,MDC-Alliance,2 189
Chinomona Mabel,,,16 902
Memory,F,ZANU PF,
Kativhu Shamh,M,Free Zim Congress,262
Mushore Boniface,M,MDC-Alliance,3 151
Chifeva Rangarirai Joel,M,NCA,223
Mapengo Mapango,M,MDC-Alliance,2 839
Mburundu Beaullah,F,MDC-T,265
Shumbamhini Hebert,M,ZANU PF,20 283
Mudyiwa Magna,F,ZANU PF,14 289
Mutereko Gift,,,1 147
Danai,M,MDC-Alliance,
Chikwanha Kudakwashe,,,578
Lawrence,M,Independent.,
"",,United African National,729
Gandiwa Christopher,M,Council.,
Gava Leah Hazviperi,F,Coalition of Democrats,199
Gunguwo Rairo Chengetai,F,Independent.,346
"",,Zimbabwe Partnership for,505
Kaseke Charles,M,Prosperity.,
Kashambe Munyaradzi,,,18 050
Tobias,M,ZANU PF,
Kunaka Tawineyi,M,MDC-Alliance.,16 369
Mabika Silas,M,NCA,189
Marembo Almighty,M,People’s Rainbow Coalition,291
Chakwiza Admire,M,MDC-Alliance,929
Karumazondo,M,ZANU PF,24 317
Makuwi Tichawona,,,
Makope Tonderai,M,Coalition of Democrats,75
Sandi Wellington.,M,People’s Rainbow Coalition,83
"",,Forces of Liberation Organization,303
Dzinemunhenzva Egypt,M,of African National,
Makara Tichaona,M,MDC-Alliance Party,3 187
Musabayana David,M,ZANU PF,13 785
Name of Candidate,Sex,Party  Votes Received,
Archibald Royc,M,People’s Rainbow coalition,272
Gukwe Phanuel,M,MDC Alliance,2101
Machakarika Tinoda,M,ZANU PF,9525
Kazingizi Peckson,M,MDC-Alliance,1850
Mudarikwa,M,ZANU PF,21405
Simbaneuta,,,
