SER,PROVINCE,No. of CONSTITUENCIES,SEX,POLITICAL PARTIES,,,,
"",,,MALE,FEMALE,INDEPENDENT,MDC-ALLIANCE,"NATIONALPATRIOTICFRONT (NPF)",ZANU PF
1,Bulawayo,12,9,3,0,11,0,1
2,Harare,29,24,5,0,28,0,1
3,Manicaland,26,23,3,0,7,0,19
4,Mashonaland Central,18,18,0,0,0,0,18
5,Mashonaland East,23,19,4,0,2,0,21
6,Mashonaland West,22,19,3,1,3,0,18
7,Masvingo,26,24,2,0,1,0,25
8,Matabeleland North,13,10,3,0,5,0,8
9,Matabeleland South,13,12,1,0,1,0,12
10,Midlands,28,27,1,0,5,1,22
SER,PROVINCE,No. OF SEATS,POLITICAL PARTIES No. OF SEE,TOSTAL,,
"",,,MDC-AL,MIADNCC-TE,ZANU PF,
1,Bulawayo,6,3,1,2,6
2,Harare,6,4,0,2,6
3,Manicaland,6,3,0,3,6
4,Mashonaland Central,6,1,0,5,6
5,Mashonaland East,6,2,0,4,6
6,Mashonaland West,6,2,0,4,6
7,Masvingo,6,2,0,4,6
8,Matabeleland North,6,3,0,3,6
9,Matabeleland South,6,2,0,4,6
10,Midlands,6,2,0,4,6
SER,PROVINCE,Seats,SEX,POLITICAL PARTIES SEATS,,TOTAL,,
"",,,FEMALE,MALE,MDC-ALLIANCE,MDC-T,ZANU PF,
1,Bulawayo,6,4,2,3,1,2,6
2,Harare,6,3,3,4,0,2,6
3,Manicaland,6,4,2,3,0,3,6
4,Mashonaland Central,6,4,2,1,0,5,6
5,Mashonaland East,6,3,3,2,0,4,6
6,Mashonaland West,6,3,3,2,0,4,6
7,Masvingo,6,3,3,2,0,4,6
8,Matabeleland North,6,4,2,3,0,3,6
9,Matabeleland South,6,3,3,2,0,4,6
10,Midlands,6,3,3,2,0,4,6
